"OwnerId","WEEK","NumberOfLogins","year","WEEKNUMBER","Origin"
"2","29 - 04/08/2018","7","2018","31","Visual Studio"
"2","29 - 04/08/2018","2","2018","31","WebPortal"
"2","05 - 11/08/2018","7","2018","32","WebPortal"
"2","12 - 18/08/2018","9","2018","33","WebPortal"
"2","19 - 25/08/2018","1","2018","34","Other"
"2","19 - 25/08/2018","4","2018","34","Visual Studio"
"2","19 - 25/08/2018","6","2018","34","WebPortal"
"2","26 - 01/09/2018","4","2018","35","Other"
"2","26 - 01/09/2018","8","2018","35","WebPortal"
"2","02 - 08/09/2018","1","2018","36","Other"
"2","02 - 08/09/2018","8","2018","36","WebPortal"
"2","09 - 15/09/2018","1","2018","37","Other"
"2","09 - 15/09/2018","10","2018","37","WebPortal"
"2","16 - 22/09/2018","1","2018","38","Other"
"2","16 - 22/09/2018","7","2018","38","WebPortal"
"2","23 - 29/09/2018","10","2018","39","WebPortal"
"3","23 - 29/09/2018","1","2018","39","WebPortal"
"2","30 - 06/10/2018","2","2018","40","WebPortal"
"2","07 - 13/10/2018","1","2018","41","Other"
"2","07 - 13/10/2018","9","2018","41","WebPortal"
"2","14 - 20/10/2018","7","2018","42","WebPortal"
"2","21 - 27/10/2018","3","2018","43","Other"
"2","21 - 27/10/2018","9","2018","43","WebPortal"
"2","28 - 03/11/2018","2","2018","44","Other"
"2","28 - 03/11/2018","8","2018","44","WebPortal"
"2","04 - 10/11/2018","5","2018","45","WebPortal"
"2","11 - 17/11/2018","3","2018","46","Other"
"2","11 - 17/11/2018","12","2018","46","WebPortal"
"2","18 - 24/11/2018","8","2018","47","WebPortal"
"2","25 - 01/12/2018","7","2018","48","WebPortal"
"2","02 - 08/12/2018","2","2018","49","WebPortal"
"2","09 - 15/12/2018","16","2018","50","WebPortal"
"2","16 - 22/12/2018","1","2018","51","Other"
"2","16 - 22/12/2018","15","2018","51","WebPortal"
"2","23 - 29/12/2018","1","2018","52","Other"
"2","23 - 29/12/2018","15","2018","52","WebPortal"
"2","30 - 05/01/2019","6","2019","1","WebPortal"
"2","06 - 12/01/2019","2","2019","2","Other"
"2","06 - 12/01/2019","3","2019","2","WebPortal"
"2","13 - 19/01/2019","21","2019","3","WebPortal"
"2","20 - 26/01/2019","3","2019","4","Eclipse"
"2","20 - 26/01/2019","9","2019","4","WebPortal"
"2","27 - 02/02/2019","1","2019","5","WebPortal"
